Mixture,Ex1,Ex2,Ex3e,Ex4,Ex5b,Ex6a,Ex6b,Ex8,In1a,In1b,In1c,In3,In4a,In4b,In6a,In6b,In7,In8,End,Per,Ast,Oli,OPC,Mic,P.value,Correlation,RMSE
1012,0.195279203802178,0,0.142802561489363,0.165640672315109,0.0772072339231975,0.00136805646486238,0,0,0,0.00333112092818602,0.0558745017568559,0.0297563202818676,0.0331840656696108,0.0341349711921286,0.036804560787768,0.0273946567710008,0,0.0437128617657398,0.0213349471530446,0.0116103870831111,0.0475470288406825,0.0292128910613179,0.0172743519630456,0.0265296067509305,0,0.565456649841742,0.903909562309913
1051,0.22032566553273,0,0.189910335676924,0.151830434925869,0.0378156847904755,0.00974088020308569,0,0,0,0.0226304190776353,0.076320211323698,0.0187678969569483,0.00952513003074275,0.0258964043390379,0.0335806808050043,0.0330609938599636,1.66397453973775e-4,0.0437602044143003,0.0154900249579965,0.00895836717728187,0.0467838923014874,0.0123664842419622,0.0168332258177828,0.0262366661131005,0,0.588221511863473,0.894891930569088
964,0.165226069142058,0,0.16319377145858,0.1779414414034,0.0669694467077584,0.00978582712283292,0,0,0,0.021864795935855202,0.0789295928136273,0.025797292185225,0.00538474455718869,0.0241057947472031,0.0338283458353596,0.0135097306872744,4.42052669197989e-4,0.0332560042842369,0.0156742868746395,0.00893993760723483,0.0345855624340839,0.0816588334167204,0.0131646840003631,0.0257417861171608,0,0.595843735430885,0.896912074973281
980,0.242883713614616,0,0.174547273224095,0.174391967850393,0.0488371781832025,0.00668838189782445,0,0,0,0,0.06647823247966,0.015219966689828,0.0209006923731118,0.0298805852258563,0.0355848119775585,0.0291248263975941,0,0.0595927730639788,0.0159596574583619,0.00894370530688864,0.0254453935294674,0.00507678054032845,0.0148531699972402,0.025590890189995,0,0.587362153427775,0.900632413016911
996,0.143756208023255,0,0.167919642902292,0.186347502297558,0.0641692531889273,0.0117221154978939,0,0,0,0.0251307275888532,0.10377032831422,0.0183809052796655,0.00201123588137667,0.0332812491375962,0.0272006534334581,0.0314120900858676,5.33560152257714e-4,0.0374389753228615,0.0163178123708692,0.0106302303164085,0.0436488657494008,0.0259203942901472,0.0193066993084184,0.0311015508586726,0,0.588644205244777,0.896354780281143
988,0.262344803984793,0,0.175432104485664,0.153270257364535,0.0367029793704088,0.00693157238004983,0,0,0,0,0.0687627553818391,0.0196297854473976,0.0289741377717093,0.0293364998440693,0.0348832907341521,0.0218563727740666,0,0.0455550828853346,0.0170943629868913,0.0124053326395813,0.0245094205408008,0.0156233776609413,0.0190031673805913,0.0276846963671754,0,0.582208069207666,0.901162118418859
1035,0.126177504096011,0,0.178618707160573,0.194870922708419,0.0736949070620034,0.00950333852883533,0,0,0,0.0133535880813076,0.0824582672045285,0.0221686361892372,0.00476432739292904,0.0284689275518181,0.0354545928163078,0.0557952368686333,8.33001802069095e-4,0.048323355799081,0.016884762823422,0.00911758553977048,0.0244782179593261,0.0358240873242197,0.013979930095393,0.0252301029961154,0,0.595917726407239,0.898292144096767
1027,0.107127824294222,0,0.171071415285843,0.197873694686976,0.0887333805944375,0.00652003769006526,0,0,0,0.0298232346759199,0.0736991525863212,0.0252112052014603,0.0082794775239399,0.0155307194905671,0.029678800977524,0.0525738467811508,4.95214703707278e-4,0.0343068284518821,0.0179690411697082,0.0100645157875105,0.0441515380729452,0.0442733166842369,0.009989396754187,0.0326273585873954,0,0.598043879816807,0.894119966431877
1011,0.142768053540425,0,0.178301673652311,0.194084549835456,0.084171573705163,0.0140958582570014,0,0,0,0,0.079045683460625,0.0149379616763592,0.0161608664052658,0.0236446536002413,0.0398771379289076,0.0368796726709239,7.15453224946032e-4,0.0411902305035746,0.019037616550481,0.010536409658306,0.0235982220373766,0.0492213492296407,0.00995785595565253,0.021775178107344,0,0.59583833964303,0.898680744401252
1043,0.0918290071988874,0,0.143918267466536,0.194885561647969,0.0833359219893114,0.00635704474694167,0,0,0,0.0169997009796522,0.0860855820277934,0.0183394673332769,0,0.0199343601458786,0.0322815576106172,0.0285714328007001,9.72230016646186e-4,0.0341239411627164,0.01764839085329,0.0109661653770496,0.0271426591904268,0.142445513716726,0.0143797706226685,0.0297834251129137,0,0.585994657395628,0.899819968826806
979,0.238348136684633,0,0.172327732262117,0.133242853838991,0.0592124350611954,0.00662552771550058,0,0,0,0.0130401572809481,0.088068386012902,0.0117906434325515,0,0.0237155852331569,0.0289469295786799,0.00937901916976151,0.00105994695031484,0.0513835898624517,0.0152190563614212,0.0100164769214177,0.0307681796235475,0.0620321464280314,0.0127809518177015,0.032042245764677,0,0.54365068930982,0.908599716357999
1003,0.140678117631543,0,0.181987549229949,0.193523025364499,0.0966679270356676,0.00913127928150548,0,0,0,0.0103713618574463,0.0816994331515913,0.0111498083414017,0.00269975643957684,0.0336246431635839,0.0398881416163316,0.028571357940228,6.8447123318588e-4,0.0623787459596399,0.017664773788948,0.00851600574423779,0.0191161341399569,0.0201456080862961,0.0141680104658935,0.0273338495285177,0,0.599578252081915,0.898141000423866
