NAME	Ex1	Ex2	Ex3	Ex4	Ex5	Ex6	Ex8	In1	In3	In4	PVALB	SST	End	Per	Ast	Oli	OPC	Mic
ADIPOR1	1	1	18.4060171997881	1	1	1	1	1	1	1	1	1	1	109.491134046085	1	1	1	1
ADIPOR2	1	1	52.2440571278684	27.1519613783615	25.017770405531	1	1	31.143262842647	39.2819987247843	1	1	1	164.683629508809	1	1	265.522329830589	1	105.700194869084
ADORA1	1	1	62.4558852657194	48.8872366571614	30.1706078736403	1	40.5357892520367	1	1	1	1	1	1	1	1	1	1	1
ADPGK	1	1	52.5021282931321	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADRA1A	1	1	1	1	1	1	1	134.111746629497	171.749221509965	148.427738393457	53.0597321445593	80.8100401030935	1	1	111.943582056265	1	141.3067572866	1
ADRA1B	1	1	1	1	1	1	18.9723079946321	47.1554849133979	50.8464151945974	1	1	1	1	1	1	1	1	1
ADSS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	91.8639717844336	1	1
AEBP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100.796852198854	1	1	1
AFAP1	1	1	1	1	1	1	1	84.9008977408352	125.826837188133	47.0118308611685	66.9266994006747	78.1528901392436	1	1	1	1	123.897451133041	1
AFAP1L2	1	1	1	1	1	1	1	1	1	1	1	1	2.82157619370494	149.287048157527	1	1	150.636366885331	1
AFF1	1	47.6393561540682	1	31.8941056809619	1	1	32.5443616877593	1	1	1	46.4899608642279	1	174.707484434984	58.0276953541262	99.9119281958194	1	1	152.788568514949
AFF2	1	1	1	1	1	1	36.0823131327768	94.1101361484168	50.9319383386481	61.2910069914293	94.5930505207148	56.952821742031	1	1	1	1	1	1
AFMID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	111.357341204888	1	1
AGAP1	281.435165246368	271.48721060342	184.507085706171	232.571378875502	297.93653782301	487.600406370044	278.786759617886	221.183808148425	298.515412842982	235.946927711801	253.128410731413	403.557208664483	236.459517720228	555.034086747754	271.336736345172	1369.82991387191	3673.47204851082	465.742834716118
AGAP2	32.8964616005338	17.1841904107457	47.053621027087	29.4247811843322	33.6028649855697	39.5724652698558	18.4543209185518	1	1	1	1	1	79.768348291026	1	1	1	1	1
AGBL1	53.6702634622288	1	30.91285983831	1	1	1	1	1	1	1	37.2020354942633	1	1	1	1	1	1	1
AGBL3	40.3598301839488	1	54.2783502711803	27.8621497642137	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AGGF1	33.0077386554814	1	32.9455380620215	29.6966495961503	1	1	1	66.5037318037737	37.8028652760891	55.1618490226349	1	1	1	1	1	1	1	65.0567508121442
AGK	26.9280026133869	1	20.711923690126	32.7972163812658	28.1387693361962	1	1	1	1	1	1	1	1	1	1	1	1	1
AGPAT1	1	1	54.5351858973605	36.2195559246819	1	1	1	56.9181684101241	1	62.4862720696015	32.3035034870437	31.9435573788011	1	1	1	1	1	1
AGPAT3	36.1395338975431	1	43.9510598316925	35.1797912224761	30.634713616884	1	1	61.6212712393469	1	42.7138266001008	56.5027945338001	1	1	1	1	1	1	161.900356264312
AGPAT5	1	1	33.5326305937124	1	1	1	1	28.8333213032755	1	1	1	1	1	1	1	1	1	1
AGPAT6	1	1	27.2701800695332	1	1	1	1	40.3439750272482	33.1976857240167	42.8601229927747	52.4919169519121	45.850766615472	1	1	1	1	1	1
AGPS	1	26.3756505370517	18.0951971308019	39.1152191750684	1	1	20.9201757358438	40.6539354251733	1	57.8800721987795	1	1	1	1	1	1	1	1
AGT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	410.979154573568	1	1	1
AGXT2L1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	193.196087138021	1	1	1
AGXT2L2	1	20.3771205781859	1	21.2195398197068	1	31.0318245309355	75.5171254375936	1	1	1	1	1	185.624189002994	1	79.5732482092748	1	1	87.6783845591732
AHCYL1	33.1728421684189	39.6883386957431	59.3588386195112	49.4474574733241	39.6564545760134	1	45.4998910864357	32.1420188286183	23.5503471110254	53.4891263132589	43.093569029907	1	1	142.747614059928	558.540357169475	1	55.5442998087116	128.131856913836
AHNAK	1	1	1	1	1	1	1	1	1	1	1	1	1	142.560076924351	86.1654168052271	1	1	1
AHNAK2	1	1	29.1073548974384	1	31.6176232662336	1	1	1	1	1	1	1	1	1	1	1	1	1
AHR	1	1	1	21.5084000480434	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AHSA1	1	1	43.6489342942591	30.1002115211782	1	1	1	1	1	44.0241068516952	32.3634176390732	1	1	1	1	1	1	1
AHSA2	1	1	49.9581876268715	1	24.8989478013881	1	14.8090456262883	1	1	39.1666986778755	31.9875264779347	1	1	1	1	1	1	83.9012738851777
AIF1L	1	1	1	1	1	1	1	1	1	1	1	1	107.633400748111	112.811082348011	1	103.875688990786	1	1
AK3	1	1	24.1662038878485	1	1	1	1	89.211347513676	1	29.199474156365	62.8950963230102	55.3252204200695	1	1	107.715341271079	74.7847225994607	1	1
AKAP1	1	1	1	1	1	1	1	1	1	36.2693379202477	1	1	1	1	1	1	1	1
AKAP13	31.1319100365577	42.3603529932325	51.5559616028563	1	28.7523690841529	42.5237502659192	65.2416732526132	1	1	1	1	1	1	200.937249425554	89.3494263206646	1	197.329231203775	587.866145072343
AKAP5	28.2327833571406	1	49.0091901777406	28.089339249223	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AKAP7	1	1	29.359743005278	35.7191150957146	1	52.8605292351213	1	35.416026130266	1	35.2361413565889	47.1523455823078	49.3476797221365	1	1	79.7954636596654	1	96.501756304777	68.0325031869301
AKAP8	1	1	46.8633257542881	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
