NAME	Ex1	Ex3	Ex4	Ex5	Ex6	Ex8	In1	In2	In3	In4	PVALB	SST	End	Per	Ast	Oli	OPC	Mic
ABHD2	53.5089640627643	48.7412445226087	36.8559742252979	35.2002187120835	74.2070931269554	56.4866045205378	67.2046680053676	27.5535989850888	104.085081056363	75.7681762311197	60.2120105405387	78.2332867446943	252.029968625885	114.165234411741	110.981120111328	79.1437487611438	547.27280669802	1
ABHD3	1	17.8378694926303	1	1	23.21453309336	1	1	1	1	1	27.9842558865678	27.1390600658966	1	1	80.7532402808748	1	1	92.4203462603887
ABHD5	1	1	1	1	1	1	1	1	1	19.4059284393768	1	1	1	1	1	1	1	1
ABHD6	20.3085924950606	19.8820570997974	16.195625606206	24.0336861832994	32.1319570858163	31.9325258792616	25.6238590454365	18.7876368763279	31.0452620852834	21.8539098618229	23.6398758702656	1	1	1	1	94.0491599200142	61.5793013157971	1
ABHD8	23.0233825432568	19.5178906450893	24.2601304292271	29.114269964925	1	1	1	1	1	29.2890169648128	1	1	1	1	1	1	1	1
ABI3BP	1	1	1	1	1	1	48.243236996864	50.1599505386117	1	1	1	1	1	1	1	1	1	1
ABLIM3	24.4589302283833	29.5916833329598	21.7362708893846	25.7593380768612	61.1440193142603	32.0761854651453	35.1122478542722	28.1786046478236	24.5864821189285	50.4041330596816	30.2770323502962	51.5072480230764	111.375552477523	1	1	1	105.548072334113	1
ABTB1	23.7707480116815	36.7619796363149	55.6918112063564	40.6214197346338	24.3739056463145	1	1	41.6187526381793	1	34.9748255464508	1	25.5751513193933	1	1	1	1	1	1
ABTB2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	126.532837583367	1	1
AC005152.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	115.954033635021	1
AC005512.1	43.2204360569981	36.0169472941765	28.716709450282	32.69021882286	49.4190654883548	146.022330592858	41.2398469935797	23.8676569632588	72.6036500060688	50.5071725876548	47.8941195064576	30.9076444933204	115.446768415347	1	146.403139656383	423.516106911277	203.704945660498	322.778359696543
AC005840.2	1	1	1	1	1	1	1	1	1	21.6052190965501	1	1	1	1	1	1	1	1
AC007510.1	23.6490821619088	33.3079618992971	45.5238719916224	46.8541796364418	1	82.7472232165254	238.494826117964	377.248422712343	102.475639591228	97.3851658802835	29.279370843425	424.37105639052	1	77.6428488210088	157.607054383267	1	267.944972978286	1
AC008449.1	28.4268257280319	1	1	1	1	1	1	23.2110507939209	1	1	1	1	1	1	1	66.4701776495361	1	1
AC008806.1	18.6558368347345	26.0118984944765	33.7189321621624	21.3821653782122	1	1	20.2703200428453	25.3912848669874	68.8037431151529	34.0659717901149	18.8655535462612	31.988047922713	1	1	1	1	1	1
AC009086.2	1	1	1	1	1	1	1	1	1	1	1	1	205.526794018491	1	1	1	1	1
AC010087.3	1	1	1	24.3548708730744	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC010974.2	37.2701273853454	43.4445333963675	31.7582443554065	38.0149569398594	68.1664853249117	14.9790669662808	205.380204959859	297.217222223643	136.181999519412	34.5266765223996	51.5523785555608	72.4972917351319	182.715516534671	225.299083329759	836.119943921475	2551.79080190098	772.611643283434	1123.56830335747
AC011511.1	1	1	20.6478411602386	1	1	1	1	1	1	22.2829703086756	1	1	1	1	1	1	1	1
AC012621.2	33.6635814917995	36.8316469953152	46.9513335236431	41.3103344110666	46.6523011855623	37.1047311051301	54.6894325752447	60.5669781696171	27.8811771761947	39.7700602579989	34.4049290352289	44.5549769025436	65.0512273696074	41.353242774182	1	407.914588835679	95.6654262954097	90.7819905176312
AC013402.2	32.2556178301698	31.1125933949146	39.2837924347945	22.41562790306	1	1	51.9312394329167	42.8855961091631	98.0432462842113	1	1	63.7212454195909	1	1	1	1	1	1
