Mixture,Ex1,Ex2,Ex3,Ex4,Ex5,Ex6,Ex8,In1,In3,In4,PVALB,SST,End,Per,Ast,Oli,OPC,Mic,P-value,Correlation,RMSE
11079,0.032096396627877,0,0.267806503246621,0.101058721336274,0.0645978976348244,0,0.0328516974947247,0,0.0872147513231677,0.0471017387166793,0.106522408230436,0,0.0269501627214684,0.00843546944237457,0.0440368806763465,0.143645296919584,0.0108687999520861,0.0268132756775356,0,0.724220320176865,0.722455369331046
11071,0,0,0.273290346821651,0.094929064726332,0.05249700090361,0,0.0236347085407324,0,0.0880259585637985,0.0325869749900439,0.120126418893185,0.00246912978936723,0.0342937325793741,0.0136218964778361,0.0420222028613563,0.16006872735265,0.0254255741693326,0.0370082633307301,0,0.64008030320287,0.777730207147229
11063,0.0369999327950828,0,0.289405453519363,0.0689356993112964,0.0372531025165054,0,0.0491338426543061,0,0.0944581162009848,0.0489918705293694,0.115090426415022,0,0.0267285392862565,0.00409106350121327,0.0512944403768808,0.145188734566622,0.00489757303134122,0.0275312052957557,0,0.726827533559938,0.714554406958049
11151,0,0.00432133817555683,0.260301147068736,0.135228939806237,0.066438470856961,0,0.0348855778204093,0,0.0803163616798162,0.0290161804145972,0.106538264960398,0.00199942802651416,0.0312947326762797,0.011916440976871,0.0503041960427527,0.132497167692816,0.0227353720003182,0.0322063818017378,0,0.680332297987022,0.753846755199861
11143,0.14612475859224,0.00256215517016648,0.256043479832905,0.134585909029366,0.079921229277025,0,0.0193269606800363,0,0.0863260952450352,0.0366573184177528,0.0742708210378234,0.0106151773582638,0.0207472065771491,0.00813927564059782,0.0467539341067013,0.0365750112974364,0.0111438848827672,0.0302067828547341,0,0.689820970330633,0.754453886875478
11149,0.0977215095488763,0,0.225801478223302,0.16165907636003,0.105607117167338,0,0.00194389321877798,0,0.0933044329844194,0.0221461615180018,0.117331093155438,0.0239835628021043,0.0222845316933172,0.00772328286688897,0.0547825869226155,0.0349817027032733,0.00912631725694074,0.0216032535786762,0,0.696075045875498,0.757246681113933
11116,0.0212350907114771,0,0.0878136161224516,0.1853751218329,0,0,0,0,0.0677704431777364,0.0269250629299492,0.0702710241872936,0.0561851821471022,0.0303824568272544,0.0175988689118503,0.155295524665814,0.200556034702685,0.0362108764693097,0.0443806973141764,0,0.58646760405942,0.811665307240263
11108,0.0831640408804032,0,0.144921928425339,0.185097629588021,0.129158128382624,0,0,2.12388971354198e-4,0.0862076346529586,0.0180709007904857,0.12312149224355,0.0253126958070758,0.0231080298907353,0.00877801598976063,0.0646215999402554,0.0628656196990836,0.0158636686556882,0.029496226082665,0,0.653968595817451,0.796746038750604
11100,0.019167390606621,0.0153520933577161,0.28358180885838,0.10989359879926,0.0719420237205299,0,0.0236976879883129,6.52466262986766e-4,0.0804504658387045,0.0384168066165786,0.133416509892095,0.0156618973686452,0.0191472877265486,0.0104136663500693,0.0876341051585575,0.0377787976233255,0.0164028249769202,0.0363905688547494,0,0.675619742657578,0.751580466620549
11140,0.0623873057949014,0.014087854229837,0.274019727524441,0.128221892280343,0.060313725198665,0,0.0177732738877971,0.0056191912673244,0.0838586165550743,0.0388237726173683,0.112188815334445,0.00358540527905498,0.026569997715815,0.0119879342781658,0.0638887310614068,0.0548057983912118,0.0104685302690106,0.0313994283151378,0,0.674767279145499,0.75654018569919
11132,0.0727640476540352,0.00658710527042667,0.280946862002686,0.113983989116746,0.0672569965513055,0,0.022943923928612,0.00224618529881652,0.0745665132500633,0.0360891575119657,0.0913796675364622,0.00307971464411589,0.0263271053176942,0.0115845371347433,0.0634313004105567,0.0856730421638768,0.0105087234057591,0.0306311288021357,0,0.668185144466673,0.759023758243801
11077,0.0961008269504761,0,0.0842202591952355,0.222839836229035,0.0289614345754791,0,0.00235809758489667,0.00489581039292826,0.0734677486422347,0.0418693692066398,0.111299692725818,0.0709267348787586,0.0172143961126888,0.0132925816362537,0.137326448635965,0.0235748370207583,0.0290328634823111,0.0426190627305214,0,0.597802343451849,0.815546487134755
11069,0.104541034106126,0,0.115977931075575,0.210921630293697,0.0567711668031927,0,0,0.00655145979421339,0.0827423000412009,0.0237039861981336,0.0979476431753247,0.0505030029585812,0.0215118116581662,0.0122913995945135,0.0980875697668693,0.0629523274640134,0.0194879228968708,0.0360088141735214,0,0.620511953145423,0.8091918928262
11061,0.252065964163517,0,0.0970856127484185,0.251463254888309,0.0362769388558215,0,0,0.037564152591966,0.0686048977266763,0.0160299258886304,0.0468749412144907,0.0510964871949701,0.0179510944329898,0.00715705357887037,0.0692115669496986,0.00678300583289449,0.0153610952868256,0.0264740086459219,0,0.615982658680459,0.823041320174967
11068,0.0934446775908751,0,0.0723124286675299,0.188534427940895,0.0192736632157312,0,0,0.01896153888137,0.0839270258510221,0.049786696224476,0.0595775019912491,0.0615515449883437,0.0182735540657103,0.019526099235853,0.206077469888541,0.0279521481752111,0.0416103696261872,0.0391908536570058,0,0.63438405750253,0.777460463417778
10997,0.101025940293983,0,0.0487944237002322,0.18238685452238,0.0355651926966105,0,0,0.023499967088186,0.0828721995958332,0.041072909063612,0.0800215035589524,0.0564340647232295,0.021132941900187,0.018514415411129,0.199790849969283,0.0262998210147612,0.0410806560151744,0.0415082604464466,0,0.631433929410107,0.781487103964289
10965,0.111273440991484,0,0.173325883697304,0.183049648878641,0.0715506429219668,0,0.0111691038803767,0.0247860990285819,0.060086159352238,0.0170469792821018,0.0931798549801279,0.0220454862022517,0.0225765941514221,0.011377670696236,0.0545291532170359,0.0908858685921523,0.0195184115853145,0.0335990025427652,0,0.647885603508642,0.792129020166261
10996,0.229310181302556,0,0.102332196972956,0.256231045919247,0.0781784873280628,0,0.00263800272341904,0.0339895308837915,0.056625548170756,0.0132540922883098,0.0740156300209609,0.0415617552226924,0.018206166540424,0.00868126693882575,0.0443818186803476,0.0097987154209159,0.00850409661478619,0.0222914649719487,0,0.624913251483996,0.824216634683565
11084,0.157083316407801,0,0.189885480422557,0.170089276690418,0.0820013112855374,0,0.00304686167184481,0.0169983355233395,0.073115011391504,0.0303467800652082,0.0956708971790254,0.0170113434171297,0.0251462830406939,0.0096614984328729,0.073386456438372,0.0158451058742613,0.0102644375994187,0.0304476045600149,0,0.644877547088949,0.790345301014212
10988,0.142847807025375,0,0.184803094996221,0.192217261450384,0.0752924221250735,0,0.00910454261490047,0.0519263509716328,0.0482107347027426,0,0.093886266413479,0.0236279640131562,0.0229426733481388,0.00930390958427289,0.0600874054138242,0.0515619357702382,0.0119512960793237,0.0222363354912381,0,0.641893378725861,0.792325806443125
